Close,閉じる
"We are not able to ship to the selected shipping address. Please choose another address or edit the current address.","We are not able to ship to the selected shipping address. Please choose another address or edit the current address."
"We can't complete your order because you don't have a payment method available.","We can't complete your order because you don't have a payment method available."
"Error happened while creating wishlist. Please try again later","Error happened while creating wishlist. Please try again later"
"You must select items to move","You must select items to move"
"You must select items to copy","You must select items to copy"
"You are about to delete your wish list. This action cannot be undone. Are you sure you want to continue?","You are about to delete your wish list. This action cannot be undone. Are you sure you want to continue?"
"Please specify payment method.",支払方法を選択してください。
"Use gift registry shipping address","Use gift registry shipping address"
"You can change the number of gift registry items on the Gift Registry Info page or directly in your cart, but not while in checkout.","You can change the number of gift registry items on the Gift Registry Info page or directly in your cart, but not while in checkout."
"No confirmation","No confirmation"
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"unselect all",全て未選択にする
"Please agree to all Terms and Conditions before placing the orders.",ご注文前にご一読ください。
"Please choose to register or to checkout as a guest",登録せずに購入または新規登録して購入を選択してください
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.",あなたのご注文はご利用いただけるお届け方法がないため確定できません。お届先住所を変更していただく必要があります。
"Please specify shipping method.",配送方法を選択してください。
"Your order cannot be completed at this time as there is no payment methods available for it.",あなたのご注文はご利用いただけるお支払い方法がないため確定できません。
Ok,Ok
"Create New Wish List","Create New Wish List"
"Click Details for more required fields.","Click Details for more required fields."
Translations,翻訳
"Translation files.",翻訳データ
