"Are you sure?",よろしいですか？
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","%1 を削除する場合、 %1 に関連付けられている情報 (例: カテゴリ, 商品など) は削除されませんが、 %1 は復元できません。 %1 を削除する前にデータベースのバックアップを作成することをおすすめします。"
"Unable to proceed. Please, try again.",続行できません、やり直してください。
"This store cannot be deleted.",店舗を削除する事はできません。
"The store has been deleted.",店舗を削除しました。
"Unable to delete store. Please, try again later.",ストアを削除する事ができません。後でもう一度ためしてください。
"This store view cannot be deleted.",ストアビューを削除する事はできません。
"Store View",ストアビュー
"Unable to proceed. Please, try again",処理できませんでした。後で再度お試しください。
"The store view has been deleted.",ストアビューを削除しました。
"Unable to delete store view. Please, try again later.",ストアビューを削除する事ができません。後でもう一度ためしてください。
"This website cannot be deleted.",ウェブサイトを削除する事はできません。
"The website has been deleted.",ウェブサイトを削除しました。
"Unable to delete website. Please, try again later.",ウェブサイトを削除する事ができません。後でもう一度ためしてください。
"The website does not exist.",ウェブサイトがありません。
"Before modifying the website code please make sure that it is not used in index.php.",ウェブサイトコードを変更する前に、index.phpで既に使用されていないか確認してください。
"The store does not exist",店舗がありません。
"Store view doesn't exist",ストアビューが存在しません
"Before modifying the store view code please make sure that it is not used in index.php.",ストアビューコードを変更する前に、index.phpで既に使用されていないか確認してください。
"New ","新規 "
"The website has been saved.",ウェブサイトを保存しました。
"The store has been saved.",店舗を保存しました。
"The store view has been saved",ストアビューを保存しました。
"An error occurred while saving. Please review the error log.",保存中にエラーが発生しました。ログを確認の上、やり直してください。
"Last 24 Hours",直近24時間
"Last 7 Days",直近7日
"Current Month",現在の月
YTD,1年間
2YTD,2年間
"Please correct the user name or password.",ユーザー名又はパスワードを訂正してください。
"Authentication error occurred.",認証エラーが起きました。
Order,注文
"Order #%1",注文番号%1
"Order #%1 (%2)","注文番号%1 (%2)"
"Access denied",アクセス拒否
"Please try to log out and sign in again.",一旦ログアウトしてログインしなおしてみてください
"If you continue to receive this message, please contact the store owner.",このメッセージを受信し続けるには、ストアオーナーに連絡してください。
"Access denied.",アクセスが拒否されました。
"Magento Admin Panel",Magento管理画面
Welcome,ようこそ
"User Name:",ユーザー名:
"user name",ユーザー名
Password:,パスワード:
password,パスワード
"Log in",ログイン
"Select Range:",範囲選択:
"No Data Found",データが見つかりませんでした
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","チャートは無効です。有効にするには、 <a href=""%1"">こちら</a> をクリックしてください。"
"Last 5 Orders",最近の5件
"Last 5 Search Terms",直近5件の検索キーワード
"Top 5 Search Terms",上位5件の検索キーワード
"There are no search keywords.",まだ検索キーワードはありません。
"View Statistics For:",統計を表示:
"All Websites",全てのウェブサイト
"Refresh Data",データ更新
"Browse Files...",ファイルを選択....
"Magento is an eBay Inc. company. Copyright&copy; %1 Magento, Inc. All rights reserved.","Magento は eBay Inc. の企業です。 Copyright&copy; %1 Magento, Inc. All rights reserved."
"Magento ver. %1","Magento ver. %1"
"Help Us Keep Magento Healthy - Report All Bugs","Magentoの品質向上にご協力ください - バグを報告する"
"Account Setting",アカウント設定
"Customer View",顧客照会
"Sign Out",ログアウト
"About the calendar",カレンダーについて
"Go Today",今日へ
Previous,前へ
Next,次
WK,週
Time,時間
Hour,時
Minute,分
"Please select an option.",オプションを選択してください。
"This is a required field.",必須項目です
"Please enter a valid number in this field.",正しい数字で入力してください。
"Please enter only numbers (1-9) into this field. Do not use spaces, commas, or any other characters.",半角数字(1-9)のみをこの項目に入力してください。スペースやコンマなどの文字は使用しないでください。
"Please enter only letters (a-z) into this field.",半角アルファベットのみをこの項目に入力してください。
"Please enter only numbers (0-9) or letters (a-z) into this field.",半角英数字のみをこの項目に入力してください。
"Please enter only numbers or letters into this field. Do not use spaces, commas, or any other characters.",半角英数字のみをこの項目に入力してください。スペースやコンマなどの文字は使用しないでください。
"Please enter only letters (a-z), numbers (0-9), spaces and the ""#"" character into this field.","半角英数字または半角スペース、""#"" のみをこの項目に入力してください。"
"Please enter a valid phone number (for example, (123) 456-7890 or 123-456-7890).","正しい形式の電話番号を入力してください。 (例:(012)-345-6789 or 012-345-6789)"
"Please enter a valid date.",正しい日付を入力してください。
"Please enter a valid email address(for example johndoe@domain.com.).","正しいメールアドレスを入力してください。(例: johndoe@domain.com.)"
"Please enter 6 or more characters.",6文字以上入力してください
"Please make sure your passwords match.",パスワードが合っているか確かめてください
"Please enter a valid URL (for example, the URL must begin with ""http://"").","正しいURLを入力してください。(例: URLは ""http://"" で始まります。)"
"Please enter a valid URL (for examples, http://www.example.com or www.example.com).","正しいURLを入力してください。(例: http://www.example.com または www.example.com)"
"Please enter a valid social security number (for example, 123-45-6789).","正しい社会保障番号を入力してください。(例: 123-45-6789)"
"Please enter a valid zip code (for example, 90602 or 90602-1234).","正しい郵便番号を入力してください。 (例: 123-4567 または 1234567)"
"Please enter a valid zip code.",正しい郵便番号を入力してください。
"Please use this date format: dd/mm/yyyy. For example, enter ""17/03/2006"" to represent March 17, 2006.","次のような日付の形式で入力してください: dd/mm/yyyy。例: ""17/03/2006"" は 2006年3月17日を意味します。"
"Please enter a valid dollar amount (for example, $100.00).","正しい金額の表記で入力してください。 (例: $100.00)"
"Please select one of these options.",1つ以上のオプションを選択してください。
"Please select State/Province.",地域を選択してください
"Please enter a valid password.",正しいパスワードを入力してください。
"Please enter a number greater than 0 in this field.",0以上の数を入力してください。
"Please enter a valid credit card number.",正しいクレジットカード番号を入力してください。
"Please wait, loading...",読み込み中です
"JavaScript may be disabled in your browser.",JavaScriptはお使いのブラウザで無効になっている可能性があります。
"To use this website you must first enable JavaScript in your browser.",このウェブサイトをご利用頂くには、お使いのブラウザでJavaScriptを有効にして頂く必要があります。
"This is only a demo store. You can browse and place orders, but nothing will be processed.",このサイトはでもサイトです。商品をご覧頂いて、ご注文頂くことはできますが、実際に請求されたり、商品が届けられることはありません。
Scope:,スコープ:
"Stores Configuration",ストア設定
"Please confirm scope switching. All data that hasn't been saved will be lost.",スコープの切替えを確認して下さい。保存されていないデータは失われます。
"Additional Cache Management",追加キャッシュ管理
"Flush Catalog Images Cache",カタログ画像キャッシュ更新
"Pregenerated product images files",事前作成した商品画像ファイル
"Flush JavaScript/CSS Cache",JavaScript/CSSキャッシュ更新
"Themes JavaScript and CSS files combined to one file.",テーマのJavaScriptとCSSファイルを1つのファイルに集約したものです。
Catalog,カタログ
JavaScript/CSS,JavaScript/CSS
"JavaScript/CSS Cache",JavaScript/CSSキャッシュ
"Personal Information",個人情報
"No records found.",レコードが見つかりませんでした
Images,画像
"Big Image",拡大画像
Thumbnail,サムネイル
"Additional Settings",追加設定
"Total %1 records found","合計 %1 レコード見つかりました"
View,表示
"per page",件表示
Page,ページ
"Previous page",前のページ
"of %1","%1 件中"
"Next page",次のページ
"Export to:",エクスポート先:
Actions,アクション
"Mass Actions",一括操作
"Unselect All",全て未選択にする
"Select Visible",表示中を選択
"Unselect Visible",表示を解除する
"items selected",個選択
"The information in this tab has been changed.",このタブの情報が変更されています。
"This tab contains invalid data. Please solve the problem before saving.",このタブは不正なデータを含んでいます。保存する前に問題を解決してください。
Loading...,読み込み中
Description,概要
Country,国
City,市区町村
"VAT Number",VAT番号
"Street Address",番地
Design,デザイン
"Media Storage",メディアストレージ
"Design Theme",デザインテーマ
Admin,管理者
Advanced,高度な設定
"Transactional Emails",取り引きメール
"Store Name",店舗名
"Store Phone Number",店舗電話番号
Region/State,地域
"Sender Name",送信者名
"Sender Email",送信者アドレス
"File extension not known or unsupported type.",ファイルの拡張子が不明又は未サポートです。
"We could not detect a size.",サイズを検出できません。
Services,サービス
"Disable Modules Output",無効なモジュール出力
"Store Email Addresses",店舗のメールアドレス
"Custom Email 1",カスタムメールアドレス１
"Custom Email 2",カスタムメールアドレス２
"General Contact",総合受付
"Sales Representative",販売担当者
"Customer Support",顧客サポート
"User-Agent Exceptions",User-Agent例外
"
                        Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    ","
                        Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    "
"Find a string in client user-agent header and switch to specific design theme for that browser.","Find a string in client user-agent header and switch to specific design theme for that browser."
Pagination,ページング
"Pagination Frame",ページング設定
"How many links to display at once.",一度に何件のリンクを表示しますか？
"Pagination Frame Skip",ページングスキップ間隔
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.",現在のページングナビ表示範囲が大半のページをカバーしていない場合、この値を加算・減算したページ番号を表示します。
"Anchor Text for Previous",前ページへのアンカーテキスト
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.",前ページへのリンクへのテキストに使用します。デフォルトでは矢印型の画像が使用されます。
"Anchor Text for Next",次ページへのアンカーテキスト
"Alternative text for next link in pagination menu. If empty, default arrow image will used.",次ページへのリンクへのテキストに使用します。デフォルトでは矢印型の画像が使用されます。
"Logo Image",ロゴ画像
"Logo Image Alt",ロゴイメージAlt
Developer,開発者向け
"Developer Client Restrictions",開発者クライアント制限
"Allowed IPs (comma separated)",許可されたIP(コンマ区切り)
"Leave empty for access from any location.",どこからでもアクセス可能にする場合は空白にしてください。
Debug,デバッグ
"Template Path Hints",テンプレートパスヒント
"Add Block Names to Hints",ブロック名をヒントに追加
"Template Settings",テンプレート設定
"Allow Symlinks",シンボリックリンクを許可する
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.",警告!この機能を稼働環境で有効にすることは推奨されていません。なぜなら情報漏えい事故の恐れがあるからです。
"Translate Inline",インライン翻訳
"Enabled for Frontend",フロントエンドで有効にする
"Enabled for Admin",管理者ページで有効にする
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.",翻訳データやブロックやその他のキャッシュはインライン翻訳を使用する際には無効にしておいたほうが便利です。
"JavaScript Settings",JavaScript設定
"Merge JavaScript Files",Javascriptファイルをマージする
"Minify JavaScript Files",JavaScriptファイルをMinify
"CSS Settings",CSS設定
"Merge CSS Files",CSSファイルをマージする
"Minify CSS Files",CSSファイルをMinify
"Image Processing Settings",画像処理設定
"Image Adapter",画像アダプタ
"Static Files Settings",静的ファイル設定
"Sign Static Files",静的ファイルに署名する
"Country Options",国オプション
"Allow Countries",許可する国
"Default Country",標準の国
"European Union Countries",EU加盟国
"Locale Options",ロケールオプション
Timezone,タイムゾーン
Locale,ロケール
"First Day of Week",週の始まり
"Weekend Days",週末
"ZIP/Postal Code",郵便番号
"Street Address Line 2",番地2
"Single-Store Mode",シングルストアモード
"Enable Single-Store Mode",シングルストアモードを有効にする
"This setting will not be taken into account if system has more than one store view.","This setting will not be taken into account if system has more than one store view."
"Mail Sending Settings",メール送信設定
"Disable Email Communications",Eメール連絡を無効にする
Host,ホスト
"Port (25)","ポート (25)"
"Set Return-Path",Return-Pathを設定する
"Return-Path Email",Return-Pathメールアドレス
"Storage Configuration for Media",メディアストレージ設定
"Select Media Database",メディアストレージを選択
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time",集計期間
"Admin User Emails",管理者メールアドレス
"Forgot Password Email Template",パスワードリマインダメールテンプレート
"Forgot and Reset Email Sender","Forgot and Reset Email Sender"
"Recovery Link Expiration Period (days)",再発行リンク有効期限(日)
"Please enter a number 1 or greater in this field.",1またはそれ以上の数字を入力してください。
"Startup Page",開始ページ
"Admin Base URL",管理ページベースURL
"Use Custom Admin URL",カスタム管理者URLを使用する
"Custom Admin URL",カスタム管理者URL
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","BaseURLは”/”で終了させてください。 例：http://yourdomain/magento/"
"Use Custom Admin Path",カスタム管理者パスを使用する
"Custom Admin Path",カスタム管理者パス
"You will have to log in after you save your custom admin path.",カスタム管理者パスを設定すると再度ログインが必要になります。
Security,セキュリティ
"Add Secret Key to URLs",URLにシークレットキーを付与
"Login is Case Sensitive",ログインIDの大文字小文字を区別する
"Admin Session Lifetime (seconds)","Admin Session Lifetime (seconds)"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Enable Charts",グラフを有効にする
Web,ウェブ
"Url Options",URLオプション
"Add Store Code to Urls",店舗コードをURLに追加
"
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    ","
                        <strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    "
"Auto-redirect to Base URL",ベースURLに自動リダイレクトする
"Search Engine Optimization","Search Engine Optimization"
"Use Web Server Rewrites",ウェブサーバーリライトを使用する
"Base URLs","Base URLs"
"Base URL",ベースURL
"Specify URL or {{base_url}} placeholder.","Specify URL or {{base_url}} placeholder."
"Base Link URL",リンクベースURL
"Base URL for Static View Files","Base URL for Static View Files"
"May be empty or start with {{unsecure_base_url}} placeholder.","May be empty or start with {{unsecure_base_url}} placeholder."
"Base URL for User Media Files","Base URL for User Media Files"
"Base URLs (Secure)","Base URLs (Secure)"
"Secure Base URL",セキュアベースURL
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder."
"Secure Base Link URL","Secure Base Link URL"
"Secure Base URL for Static View Files","Secure Base URL for Static View Files"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder."
"Secure Base URL for User Media Files","Secure Base URL for User Media Files"
"Use Secure URLs in Frontend",フロントエンドでセキュアURLを使う
"Use Secure URLs in Admin",セキュアURLを管理者ページで使用する
"Offloader header",オフローダーヘッダー
"Default Pages",標準のページ
"Default Web URL",標準ウェブURL
"Default No-route URL",標準の404ページURL
"Session Validation Settings",セッション設定確認
"Validate REMOTE_ADDR","REMOTE_ADDR を検証する"
"Validate HTTP_VIA","HTTP_VIA を検証する"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR を検証する"
"Validate HTTP_USER_AGENT",HTTP_USER_AGENTを検証する
"Use SID on Frontend",フロントエンドでSIDを使用する
"Allows customers to stay logged in when switching between different stores.",異なる店舗に移動してもログイン状態を継続することを許可する
"Cache Type",キャッシュタイプ
Tags,タグ
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 エラー</h1><p>ページが見つかりません。</p>"
"Community Edition","Community Edition"
