"Are you sure?",よろしいですか？
"contact us",お問い合わせ
" for more information or "," いただくか、もしくは右のアドレスに "
"email us at ",メールしてください
Info:,情報:
Track:,追跡:
Status:,状態:
"Delivered on:",配達経由:
"Signed by:",サイン:
"Delivered to:",配達先:
"Shipped or billed on:",配送もしくは請求経由:
"Service Type:",サービスタイプ:
Weight:,"重量: "
"Track history","Track history"
Location,場所
"Local Time",現地時間
"There is no tracking available for this shipment.",この配送では追跡できません
"There is no tracking available.",荷物追跡は利用できません。
"ZIP/Postal Code",郵便番号
"Street Address Line 2",番地2
"Shipping Settings",配送設定
Origin,発送元
