Orders,注文
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Sales Items"
Profit,Profit
Paid,Paid
"Sales Tax","Sales Tax"
"Sales Shipping","Sales Shipping"
"Total Shipped Report","Total Shipped Report"
Carrier/Method,Carrier/Method
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
Rate,Rate
"Tax Amount","Tax Amount"
"Abandoned carts","Abandoned carts"
"Applied Coupon","Applied Coupon"
"IP Address","IP Address"
"Products in carts","Products in carts"
Carts,Carts
"Wish Lists","Wish Lists"
"Wishlist Purchase","Wishlist Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
Reports,Reports
"Last updated: %1. To refresh last day\'s <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day\'s <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Low Stock"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
Review,Review
Reviews,Reviews
"Customers Report","Customers Report"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","Product Reviews"
Details,Details
"Best Sellers Report","Best Sellers Report"
Coupons,Coupons
"Coupons Report","Coupons Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Sales Report","Sales Report"
"Shipping Report","Shipping Report"
"Tax Report","Tax Report"
"Abandoned Carts","Abandoned Carts"
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
Statistics,Statistics
"No report code is specified.","No report code is specified."
"We updated lifetime statistics.","We updated lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Most Viewed Products Report","Most Viewed Products Report"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have wish list: %1%","Customers that have wish list: %1%"
"Number of wish lists: %1","Number of wish lists: %1"
"Number of items bought from a wish list: %1","Number of items bought from a wish list: %1"
"Number of times wish lists have been shared (emailed): %1","Number of times wish lists have been shared (emailed): %1"
"Number of wish list referrals: %1","Number of wish list referrals: %1"
"Number of wish list conversions: %1","Number of wish list conversions: %1"
"Show Report For:","Show Report For:"
"Recently Viewed","Recently Viewed"
"Recently Compared","Recently Compared"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Number of Products to display","Number of Products to display"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
"Stock Quantity","Stock Quantity"
"Ordered Quantity","Ordered Quantity"
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.","This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone."
"Average (Approved)","Average (Approved)"
"Last Review","Last Review"
"Order Created Date","Order Created Date"
"Order Updated Date","Order Updated Date"
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.","The Order Updated Date report is displayed in real-time, and does not need to be refreshed."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Are you sure you want to refresh statistics for last day?","Are you sure you want to refresh statistics for last day?"
Report,Report
undefined,undefined
