Remove,削除
"Ship to different address",別の住所へ送る
Continue,続ける
"Order #",ご注文番号
"Proceed to Checkout",レジに進む
"Checkout as a Guest or Register",ゲストまたは会員として購入
"Checkout as a Guest",ゲストとして購入
"Register to Create an Account",アカウントを作成するために会員登録をお願いいたします。
"Register and save time!",登録すると手続きが簡単に!
"Register with us for future convenience:",登録のメリット
"Fast and easy check out",早く，簡単に支払い手続きができます．
"Easy access to your order history and status",簡単にご注文の履歴，状態が確認できます．
"Checkout as Guest",ゲストとして購入
Register,新規登録
Login,ログイン
"Already registered?",登録はお済みですか？
"Please log in below:",こちらからログインしてください:
"Forgot Your Password?",パスワードをお忘れですか？
"No Payment Methods",支払方法なし
"Your Checkout Progress",進行状況
"Billing Address",請求先住所
"Shipping Address",配送先
"Shipping method has not been selected yet",配送方法が選択されていません
"Payment Method",お支払方法
"Place Order",注文を確定する
"Forgot an Item?",上記の注文でよろしいですか？
"Edit Your Cart",カートの中身を編集
"Incl. Tax",税込
"Your credit card will be charged for",クレジットカードでお支払いいただく金額
"Select a shipping address from your address book or enter a new address.",配送先をアドレスブックから選択するか、新しい住所を入力してください。
"Use Billing Address",請求先の住所を使う
"Sorry, no quotes are available for this order at this time.",申し訳ありません、現在この注文でお見積もりはご利用できません。
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"You will receive an order confirmation email with details of your order and a link to track its progress.",注文の確認メールをお送りしました。メールには注文状況を確認するURLがあります。
"Thank you for your purchase!",ご購入ありがとうございました！
"Please specify a shipping method.",配送方法を指定してください。
"Please choose to register or to checkout as a guest.","Please choose to register or to checkout as a guest."
"We are not able to ship to the selected shipping address. Please choose another address or edit the current address.","We are not able to ship to the selected shipping address. Please choose another address or edit the current address."
"Please specify payment method.",支払方法を選択してください。
"We can't complete your order because you don't have a payment method available.","We can't complete your order because you don't have a payment method available."
"Checkout Options",購入オプション
"Enable Onepage Checkout",ワンページチェックアウトを有効にする
"Allow Guest Checkout",ゲストチェックアウトを有効
"Require Customer To Be Logged In To Checkout",チェックアウト時にログインを要求する
"Quote Lifetime (days)",見積もりの有効期間(日)
"After Adding a Product Redirect to Shopping Cart",商品を追加後にショッピングカート画面にリダイレクトする
"My Cart Link",マイカートリンク
"Display Cart Summary",カートの概要を表示
"Shopping Cart Sidebar",サイドバーショッピングカート
"Display Shopping Cart Sidebar",ショッピングカートサイドバーを表示する
"Maximum Display Recently Added Item(s)",最近カートに入れた商品の表示件数
"Payment Failed Emails",支払失敗時のメール
"Payment Failed Email Sender",支払失敗時のメール送信元
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template",支払失敗時のテンプレート
"Send Payment Failed Email Copy To",支払失敗コピーメール送信先
"Separate by "","".",""",""で区切られた"
"Send Payment Failed Email Copy Method",支払失敗コピーメール送信方法
"Your order has been received.",ご注文をお受けしました。
