" and "," と"
"Bundle Items","セット商品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."," ダイナミックプライシングでのバンドルはカスタム定義したオプションを含むことはできませんのでオプションは保存されません。"
"Cancel","キャンセル"
"Cancel URL: ","Cancel URL: "
"Card Verification Number","カード確認番号"
"Carrier","配送業者"
"Catalog","カタログ"
"Chairs","Chairs"
"Change Orientation","Change Orientation"
"Channel","チャンネル"
"Child Transactions","子トランザクション"
"Choose a selection...","選択してください..."
"Choose Store View","ストアビューを選択"
"Clear","クリア"
"Client Session Timeout (sec.)","クライアントセッションタイムアウト (秒)"
"Close","閉じる"
"Confirmed email:","確認用Eメール:"
"Connect with the Magento Community","Magentoコミュニティに接続"
"Contents","コンテンツ"
"Continue","続ける"
"Country:","国:"
"Created At","作成日"
"Credit Card %s","Credit Card %s"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Memo History","クレジットメモ履歴"
"Credit Memo Totals","クレジットメモ合計"
"critical","重要"
"CSV / Tab separated","タブ区切りのCSVファイル"
"Current Configuration Scope:","現在の設定範囲:"
"Custom","カスタム"
"Customer","顧客"
"Customer Group:","顧客グループ:"
"Customer Since:","顧客登録日時:"
"Customers","顧客"
"Dashboard","ダッシュボード"
"Data Format","データフォーマット"
"Data transfer:","データ転送:"
"Date selection:","日付選択:"
"Date selector","日付選択"
"Decimal separator:","桁区切り:"
"Default (Admin) Values","標準(管理者)値"
"Default Billing Address","標準の購入者住所"
"Default Response Charset","Default Response Charset"
"Default Values","標準の値"
"Delete","削除"
"Delete theme","Delete theme"
"Deselect All","Deselect All"
"DHTML Date/Time Selector","DHTMLの日付/時間セレクタ"
"Direction:","向き:"
"Display %s first","%sを最初に表示"
"Distributed under GNU LGPL. See %s for details.","GNU LGPLライセンスのもとで配布されています。詳細は%sを見てください。"
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout."
"Drag to move","ドラッグして移動"
"Edit Filter","フィルタの編集"
"Edit Role","権限の編集"
"Edit User '%s'","ユーザー'%s'の編集"
"Email","Eメール"
"Email Preview","メールのプレビュー"
"Email:","Eメール:"
"Enable Secure Token:","Enable Secure Token:"
"Enclose Values In:","同封の値:"
"Entity Attributes","Entity Attributes"
"Entity type:","統一タイプ"
"Excl. Tax","税別"
"Expiration Date","有効期限"
"Expiration Date: %s/%s","有効期限: %s/%s"
"Export","エクスポート"
"Export Filters","エクスポートフィルタ"
"Export to:","エクスポート先:"
"Export:","エクスポート:"
"Extension","エクステンション"
"Extensions","エクステンション"
"Field Mapping","フィールドマッピング"
"File Information","ファイル情報"
"File mode","File mode"
"File name:","ファイル名:"
"Files","ファイル"
"FILTERS APPLIED","フィルタ適用済"
"Finished profile execution.","プロファイルの実行を終了"
"First Name:","名:"
"For latest version visit: %s","最新のバージョンへ: %s"
"From","開始"
"FTP Host[:Port]","FTP IPアドレス[:ポート番号]"
"General Information","総合情報"
"General Settings","全般設定"
"Get help for this page","このページのヘルプを見る"
"Global Record Search","全体検索"
"Go to messages inbox","Go to messages inbox"
"Go to notifications","Go to notifications"
"Go Today","今日へ"
"Google Base Items","Googleベースの商品"
"Group:","グループ:"
"Help Us Keep Magento Healthy - Report All Bugs","Magentoを健全に保つためにご協力ください - バグを報告する"
"Home","ホーム"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website."
"Ignore","無視"
"Images","画像"
"Import","インポート"
"Import Service","サービスのインポート"
"Important: ","Important: "
"In Database:","データベース:"
"In File:","ファイル:"
"In Stock","在庫あり"
"Inactive Tabs","Inactive Tabs"
"Incl. Tax","税込"
"Include","含む"
"Interactive","インタラクティブ"
"Interface Locale: %s","インターフェース場所: %s"
"Invalid webservice adapter specified.","不正なWebサービスアダプタが指定されました。"
"Invalid webservice handler specified.","不正なWebサービスハンドラが指定されました。"
"Invoice History","納品履歴"
"Invoice Totals","納品履歴"
"Is Closed","クローズ済"
"Issue Number","取引番号"
"Issuer: %s","発行: %s"
"items selected","件選択しました"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSSキャッシュ"
"Last 5 Orders","最後に注文5件"
"Last 5 Search Terms","最後に検索した用語５つ"
"Last Logged In (%s):","最終ログイン(%s):"
"Last Logged In:","最終ログイン:"
"Last Name:","姓:"
"Latest Message:","最新のメッセージ:"
"Leave empty to use tax identifier","税鑑定のため未記入にしておく"
"Links with associated products will retain only after saving current product.","商品の関連付けは現在編集中の商品を保存した後に行われます。"
"Loading Preview...","Loading Preview..."
"Loading...","ロード中..."
"Local Server","ローカルサーバー"
"Local/Remote Server","ローカル/リモートサーバー"
"Log In","ログイン"
"Log Out","ログアウト"
"Logged in as %s"," %sとしてログイン"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Section"
"Magento Logo","Magentoロゴ"
"Magento ver. %s","Magentoバージョン %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; は Magento Inc. の商標です。<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","メインタブ"
"major","メジャー"
"Make Inactive","無効にする"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","ファイルのデータをサポートされている文字コードで保存してください。 (UTF-8 または ASCII)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Make sure that you configure the design settings for the Payflow Link form in your Payflow link account."
"Manage Stores","店舗管理"
"Max","最大"
"Min","最小"
"minor","マイナー"
"More Tabs","もっと見る"
"MS Excel XML","Excel形式のXML"
"N/A","該当無し"
"Name","名前"
"Name on Card","カードネーム"
"Name on the Card: %s","カードの名義: %s"
"Name:","名前:"
"Next month (hold for menu)","次月 (hold for menu)"
"Next page","次のページ"
"Next year (hold for menu)","次年(hold for menu)"
"No","No"
"No Data Found","日付が見つかりません。"
"No information available.","利用可能な情報はありません。"
"No profile loaded...","プロファイルが読み込まれていません"
"No search keywords.","検索したキーワードはありません."
"None","なし"
"Note:","ノート:"
"notice","お知らせ"
"Number of records:","登録ナンバー:"
"of %s pages","中 %s ページ"
"Old rate:","以前のレート:"
"On my website","On my website"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Only custom theme can be deleted","Only custom theme can be deleted"
"Only default theme can be reset","Only default theme can be reset"
"Only mapped fields","マップされたフィールド"
"Options menu items","Options menu items"
"Order cannot be placed.","ご注文を保存できませんでした。"
"Order ID","注文番号"
"Original Magento attribute names in first row:","Magentoの属性名を先頭行に配置する:"
"Out of stock","在庫切れ"
"Package","パッケージ"
"Packages","パッケージ"
"Page","ページ"
"Parent Transaction ID","親トランザクションID"
"Passive mode","パッシブモード"
"Password","パスワード"
"Path","パス"
"Path:","パス:"
"per page","件表示"
"Personal Information","個人情報"
"Phone:","電話:"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","site switchingを確認してください。 まだ保存されていないすべてのデータは失われてしまいます。"
"Please continue with placing order.","ご注文を完了するには先にお進み頂く必要があります"
"Please enter 6 or more characters.","6文字以上記入してください。"
"Please enter a number greater than 0 in this field.","0以上の数を入力してください。"
"Please enter a valid $ amount. For example $100.00.","正しい金額表示で入力してください。(例) $100.00."
"Please enter a valid credit card number.","正しいクレジットカード番号を入力してください。"
"Please enter a valid date.","正しい日付を入力してください。"
"Please enter a valid email address. For example johndoe@domain.com.","正しいメールアドレスを入力してください。（例：johndoe@domain.com）"
"Please enter a valid number in this field.","ここに数字を記入してください。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","電話番号を記入してください。. (例) (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","正しいソーシャルセキュリティナンバーを入力してください。（例：123-45-6789）"
"Please enter a valid URL. For example http://www.example.com or www.example.com","正しいURLを入力してください。（例：http://www.example.com または www.example.com）"
"Please enter a valid URL. http:// is required","正しいURLを入力してください。「http://」が必要です。"
"Please enter a valid value from list","価格を記入してください"
"Please enter a valid value, ex: 10,20,30","正しい値を入力してください。 例: 10,20,30"
"Please enter a valid zip code.","正しい郵便番号を入力してください。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","正しい郵便番号を入力してください。（例：123-4567）"
"Please enter another credit card number to complete your purchase.","Please enter another credit card number to complete your purchase."
"Please enter valid password.","正しいパスワードを入力してください。"
"Please make sure that your changes were saved before running the profile.","プロフィールが実行される前に変更が保存されていることを確認してください。"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please Select","選択してください"
"Please select an option.","オプションを選択してください。"
"Please select one of the above options.","上のオプションから一つ選択してください。"
"Please select one of the options.","オプションをひとつ選択してください。"
"Please select State/Province.","地域を選択してください"
"Please use in this field only ""a-z,0-9,_"".","""a-z,0-9,_""の文字で入力してください。"
"Please use letters only (a-z) in this field.","半角英字で入力してください。"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドは半角英数字で入力してください。スペースや他の文字はご使用いただけません。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","ここでアルファベット(a-z)かまたは数字(0-9)のみを使用してください。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","このデータフォーマットを使用してください。: dd/mm/yyyy. (例) 17/03/2006 2006年3月17日"
"Please wait while the indexes are being refreshed.","インデックスの更新が終わるまでお待ちください。"
"Please wait, loading...","ロード中...お待ちください。"
"Preset Theme","プリセットテーマ"
"Prev. month (hold for menu)","前月(メニューに適用)"
"Prev. year (hold for menu)","前年 (メニューに適用)"
"Preview","プレビュー"
"Previous page","前ページ"
"Price:","価格:"
"Product Name3 ","Product Name3 "
"Product Name3 1","Product Name3 1"
"Product Name3 2","Product Name3 2"
"Products","商品"
"Profile Information","プロフィールの概要"
"Qty:","個数:"
"Read details","詳細を読む"
"Reference ID","参照ID"
"Regular Price:","通常価格:"
"Remote FTP","遠隔FTP"
"Remove","削除"
"Required settings","Required settings"
"Reset theme to default","Reset theme to default"
"Resource Access","リソースアクセス"
"Resources","リソース"
"Return URL: ","Return URL: "
"Role Users","権限ユーザー"
"Roles","権限"
"Roles Resources","権限リソース"
"Save","保存"
"Save As","名前をつけて保存"
"Save Theme","テーマの保存"
"Screens:","Screens:"
"Select All","すべて選択"
"Select Date","日付を選択"
"Select date","日付を選択"
"Select Range","範囲を選択"
"Select Visible","表示中を選択"
"Shipment Comments","出荷コメント"
"Shipment History","発送履歴"
"Shipping Address","発送先住所"
"Shipping address selection is not applicable","発送先住所の選択は適用されません。"
"Shipping method selection is not applicable","配送分類選択は適用されません。"
"Show By","Show By"
"Show confirmation page: ","Show confirmation page: "
"Show Report For","レポートを表示"
"Silent Post URL:","Silent Post URL:"
"SKU:","商品番号:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","注文された中の幾つかの商品は送り状や配送方法が違います。送り状が作成されなければ発送することができません。"
"SORT BY:","表示順"
"Sort Order","並び順"
"Special Price:","特別価格:"
"Spreadsheet Name:","表計算名:"
"Start Date","開始日"
"Start/Reset Validation...","検証の開始/リセット..."
"Starting profile execution, please wait...","プロファイルを開始しています。お待ちください。"
"State/Province:","都道府県"
"Status","状態"
"Status:","状態:"
"Stock Quantity:","在庫数:"
"Store:","店舗:"
"Switch/Solo card issue number: %s","スウィッチ/ソロカード 発行ナンバー: %s"
"Switch/Solo card start Date: %s/%s","スウィッチ/ソロカード　発行日: %s/%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK国内) 発行ナンバー: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK国内)カード 開始日: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK国内) のみ"
"Synchronization is required.","Synchronization is required."
"System busy","System busy"
"T-Shirts","Tシャツ"
"Target","対象"
"Tell a Friend","友達に教える"
"The card has failed verification with the issuer bank.","このカード番号は発行元での認証に失敗しました。"
"The information in this tab has been changed.","このタブの情報は変更されました。"
"Theme configurations are successfully reset.","Theme configurations are successfully reset."
"Theme label can\'t be empty","Theme label can\'t be empty"
"Theme label:","Theme label:"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","誤った決済情報が送信されたか、時間切れです。やり直してください。"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモストアです。実際に請求されることはありません。"
"This is a required field.","必須項目です"
"This tab contains invalid data. Please solve the problem before saving.","このタブは無効なデータを含みます。保存する前に問題を解決してください。"
"Thumbnail","サムネイル"
"Time selection:","時間選択:"
"Time:","時間:"
"Title bar","Title bar"
"To","To"
"to","To"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","To use Payflow Link, you must configure your Payflow Link account on the Paypal website."
"Top 5 Search Terms","上位５位検索用語"
"Total %d records found","合計 %dレコード見つかりました。"
"Track Order","注文追跡"
"Track this shipment","この荷物を追跡する"
"Transaction Data","トランザクションデータ"
"Transaction Details","トランザクション詳細"
"Transaction ID","トランザクションID"
"Transaction Type","トランザクション種別"
"Try Magento Go for Free","Try Magento Go for Free"
"Type","タイプ"
"Type:","タイプ:"
"Unable to login.","ログインできません"
"Unknown Error","不明なエラー"
"Unknown Error.","不明なエラー。"
"Unselect All","全て未選択にする"
"Unselect Visible","表示を解除する"
"Update Preview","Update Preview"
"Updated At","更新日"
"Use Default Value","標準の値を使用"
"Use Silent Post:","Use Silent Post:"
"User","ユーザー"
"User Name","ユーザ名"
"User name","ユーザ名"
"User Roles","ユーザの役割"
"Users","ユーザ"
"Validation Results","Validation Results"
"Value Delimiter:","価格範囲:"
"Verification cannot be processed","検証できません"
"Verification Failed","認証失敗"
"Verification Successful","認証成功"
"View","表示"
"View Details","詳細を表示"
"View Gallery","View Gallery"
"View Statistics For","統計を表示する"
"Visibility:","可視性:"
"Warning: Please do not close the window during importing/exporting data","警告: インポート/エクスポート中はウインドウを閉じないでください。"
"Warning! Empty value can cause problems with CSV format.","警告!　価格の未記入はCSVフォーマット上で問題を起こす可能性があります。"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","注意！\r\nこの操作は権限に割り当てられているユーザーを削除します\r\n実行しますか？"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","警告!この動作はすでに割り当てられた役割からユーザーを削除します\r\n本当にいいですか?"
"We detected that your JavaScript seem to be disabled.","お使いのブラウザではJavaScriptが無効になっているようです。"
"Web Services","Webサービス"
"What is this?","これはなんですか?"
"WS-I Compliance","WS-I Compliance"
"Yes","Yes"
"You have %s unread message(s).","You have %s unread message(s)."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","このWebサイトの機能をご利用いただくには、JavaScriptを有効にしていただく必要があります。"
"Your account has been deactivated.","あなたのアカウントは有効になっていません。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","あなたのPHPサーバーは一度に最大%sアップロード可能です。より大きなファイルをアップロードしたい場合は、php.iniの中にあるpost_max_size(現在は%s)と upload_max_filesize (現在は%s) の価格を修正してください。"
"Zip/Postal Code:","郵便番号:"
